FILM,STARS,RATING,VOTES
After Words (2015),4.0,3.6,7
Beloved Sisters (2014),3.5,3.3,7
Cut Bank (2015),3.5,3.3,7
Six Dance Lessons in Six Weeks (2014),3.0,3.0,7
The Pardon (2015),4.0,4.0,7
League of Legends LCS Summer Finals (2015),5.0,5.0,7
Vaalu (2015),2.0,1.5,6
The Little Death (2015),5.0,4.5,6
Live From New York! (2015),4.5,4.2,6
Backcountry (2015),4.0,3.8,6
Some Kind of Beautiful (2015),4.0,4.0,6
Hotel Transylvania 2 (2015),5.0,5.0,6
Soaked In Bleach (2015),5.0,5.0,6
I Believe in Unicorns (2015),5.0,4.6,5
Living in the Age of Airplanes (2015),4.0,3.6,5
We Are Your Friends (2015),4.0,3.6,5
The Falling (2015),3.5,3.2,5
The Peanuts Movie (2015),4.5,4.2,5
Ennum Eppozhum (2015),3.0,2.8,5
The Ark Of Mr. Chow (2015),3.0,2.8,5
Humpback Whales 3D (2015),4.0,3.8,5
Police Story: Lockdown (2015),5.0,4.8,5
Fresh Dressed (2015),4.5,4.4,5
Two Step (2015),4.5,4.4,5
An Open Secret (2015),3.0,3.0,5
"3 1/2 Minutes, Ten Bullets (2015)",4.0,4.0,5
Bonobos: Back To The Wild (2015),4.0,4.0,5
Magician: The Astonishing Life and Work of Orson Welles (2014),4.0,4.0,5
Detective K: Secret of the Lost Island (2015),3.0,2.5,4
Fort Tilden (2015),3.0,2.5,4
ESL One Cologne Counter-Strike: GO Finals Live (2015),4.0,3.5,4
"People, Places, Things (2015)",5.0,4.5,4
Ten Thousand Saints (2015),5.0,4.5,4
The Yes Men Are Revolting (2015),5.0,4.5,4
24 Days (2015),3.5,3.3,4
Black Mass (2015),3.5,3.3,4
Komban (2015),3.5,3.3,4
Cupcakes (2015),4.0,3.8,4
Misery Loves Comedy (2015),4.0,3.8,4
Rakshasudu (2015),4.0,3.8,4
Wonderful Nightmare (2015),4.0,3.8,4
Indru Netru Naalai (2015),4.5,4.3,4
I Am Chris Farley (2015),5.0,4.8,4
The Good Dinosaur (2015),5.0,4.8,4
The Mafia Only Kills in Summer (2015),3.0,3.0,4
Legends from the Sky (2015),4.0,4.0,4
SBK The-Movie (2015),4.0,4.0,4
National Theatre Live: The Hard Problem (2015),5.0,5.0,4
The Boy (2015),5.0,5.0,4
The Perfect Guy (2015),5.0,5.0,4
Forbidden Films (2015),3.0,2.7,3
A Poem Is a Naked Person (2015),4.0,3.7,3
Buzzard (2015),4.0,3.7,3
Court (2015),4.0,3.7,3
A Walk in the Woods (2015),4.5,4.3,3
Drafthouse Films: ROAR (2015),4.5,4.3,3
The Girl is in Trouble (2015),4.5,4.3,3
Winning: The Racing Life Of Paul Newman (2015),4.5,4.3,3
Don't Think I've Forgotten: Cambodia's Lost Rock and Roll (2015),4.0,4.0,3
Dukale's Dream (2015),4.0,4.0,3
Marie's Story (2015),4.0,4.0,3
Royal Ballet: The Winterâ€™s Tale (2015),4.0,4.0,3
Fall to Rise (2015),5.0,5.0,3
Turbo Kid (2015),5.0,4.0,2
Hunting Elephants (2015),3.0,2.5,2
Felt (2015),4.0,3.5,2
October Gale (2015),2.0,2.0,2
1001 Grams (2015),3.0,3.0,2
Charlie's Country (2015),3.0,3.0,2
Jauja (2015),3.0,3.0,2
Love at First Fight (2015),3.0,3.0,2
The Lovers (2015),3.0,3.0,2
Welcome to New York (2015),3.0,3.0,2
Rebels of the Neon God (2015),4.0,4.0,2
The Visit (2015),4.0,4.0,2
Appropriate Behavior (2015),5.0,5.0,2
Dogs on the Inside (2015),5.0,5.0,2
She's Lost Control (2015),5.0,5.0,2
The Forecaster (2015),5.0,5.0,2
The Seven Five (2015),5.0,5.0,2
The Transporter Refueled (2015),5.0,5.0,2
Tiger (2015),5.0,5.0,2
Maya the Bee Movie (2015),1.0,1.0,1
Nannbenda (2015),1.0,1.0,1
Ned Rifle (2015),1.0,1.0,1
Closer to the Moon (2015),2.0,2.0,1
Treading Water (2015),2.0,2.0,1
Amour Fou (2015),3.0,3.0,1
Dark Star: H.R. Giger's World (2015),3.0,3.0,1
Empire of Lust (2015),3.0,3.0,1
Hungry Hearts (2015),3.0,3.0,1
Nannbenda (2015),3.0,3.0,1
"One Cut, One Life (2015)",3.0,3.0,1
The Face of an Angel (2015),3.0,3.0,1
The Living (2015),3.0,3.0,1
Wild Canaries (2015),3.0,3.0,1
Buggs Bunny (2015),4.0,4.0,1
Digging for Fire (2015),4.0,4.0,1
Every Last Child (2015),4.0,4.0,1
Journey to Space (2015),4.0,4.0,1
Kidnapping Mr. Heineken (2015),4.0,4.0,1
Reality (2015),4.0,4.0,1
Stung (2015),4.0,4.0,1
A Hard Day (2015),5.0,5.0,1
A Midsummer Night's Dream (2015),5.0,5.0,1
A Murder In The Park (2015),5.0,5.0,1
Bound to Vengeance (2015),5.0,5.0,1
Captive (2015),5.0,5.0,1
Far From Men (2015),5.0,5.0,1
L.A. Slasher (2015),5.0,5.0,1
Sexy et en cavale (2015),5.0,5.0,1
That Guy Dick Miller (2015),5.0,5.0,1
That Sugar Film (2015),5.0,5.0,1
The Intern (2015),5.0,5.0,1
The Park Bench (2015),5.0,5.0,1
The Wanted 18 (2015),5.0,5.0,1
Z For Zachariah (2015),5.0,5.0,1
6 Years (2015),0.0,0.0,0
7 Minutes (2015),0.0,0.0,0
A Year in Champagne (2015),0.0,0.0,0
Balls Out (2015),0.0,0.0,0
Before I Wake (2015),0.0,0.0,0
Big Significant Things (2015),0.0,0.0,0
Caprice (2015),0.0,0.0,0
Cas d&#233;sesp&#233;r&#233; (2015),0.0,0.0,0
Chagall Malevich (2015),0.0,0.0,0
Coffee Bloom (2015),0.0,0.0,0
Come Blow Your Horn (2015),0.0,0.0,0
Dan's Motel (2015),0.0,0.0,0
Ego Trip (2015),0.0,0.0,0
El Cartel De La Papa (2015),0.0,0.0,0
"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2015)",0.0,0.0,0
Electric Slide (2015),0.0,0.0,0
Elephant Song (2015),0.0,0.0,0
Eli (2015),0.0,0.0,0
Espionne (2015),0.0,0.0,0
Farewell to Hollywood (2015),0.0,0.0,0
Glass Chin (2015),0.0,0.0,0
Guidance (2015),0.0,0.0,0
Gun & Goal (2015),0.0,0.0,0
How to Change the World (2015),0.0,0.0,0
Insanity (2015),0.0,0.0,0
Jilebi (2015),0.0,0.0,0
Journey to Space 3D (2015),0.0,0.0,0
La face cache de Margo (2015),0.0,0.0,0
La leon (2015),0.0,0.0,0
La passion d'Augustine (2015),0.0,0.0,0
Le gaucher (2015),0.0,0.0,0
Le monde de demain (2015),0.0,0.0,0
Le tireur (2015),0.0,0.0,0
Little Big Master (2015),0.0,0.0,0
Loin de la foule dchan; (2015),0.0,0.0,0
Mateo (2015),0.0,0.0,0
Melody (2015),0.0,0.0,0
Memories of the Sword (2015),0.0,0.0,0
Monde Jurassique (2015),0.0,0.0,0
Munde Kamaal De (2015),0.0,0.0,0
My Italian Secret: The Forgotten Heroes (2015),0.0,0.0,0
Of Horses and Men (2015),0.0,0.0,0
One & Two (2015),0.0,0.0,0
One and Two (2015),0.0,0.0,0
Our Man in Tehran (2015),0.0,0.0,0
Pa! Por Mis Hijos Lo Que Sea (2015),0.0,0.0,0
Paulo Coelho's Best Story (2015),0.0,0.0,0
Queen of Earth  (2015),0.0,0.0,0
SDLFF: A Photographer's Journey (2015),0.0,0.0,0
"Searching For Home, Coming Back From War (2015)",0.0,0.0,0
Selam Bahara Yolculuk (2015),0.0,0.0,0
Set Fire to the Stars (2015),0.0,0.0,0
Shake the Dust (2015),0.0,0.0,0
Sleeping With Other People (2015),0.0,0.0,0
Specticast: From Here to Eternity (2015),0.0,0.0,0
The Curse of Downers Grove (2015),0.0,0.0,0
THE HIDDEN ROOM / THE SLEEPING TIGER (2015),0.0,0.0,0
The Merchant of Venice: Presented by RSC (2015),0.0,0.0,0
The Mirage (2015),0.0,0.0,0
The New Girlfriend (2015),0.0,0.0,0
The Next Step Live: The Movie (2015),0.0,0.0,0
The Passion of Augustine (2015),0.0,0.0,0
The Second Mother (2015),0.0,0.0,0
Two 4 One (2015),0.0,0.0,0
Valiyavan (2015),0.0,0.0,0
WWE SummerSlam 2015 (2015),0.0,0.0,0
Yagavarayinum Naa Kaakka (2015),0.0,0.0,0
"Yesterday, Today and Tomorrow (1964)",0.0,0.0,0
Zarafa (2012),0.0,0.0,0

FILM,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Metacritic_user_vote_count,IMDB_user_vote_count
Avengers: Age of Ultron (2015),74,86,66,7.1,7.8,1330,271107
Cinderella (2015),85,80,67,7.5,7.1,249,65709
Ant-Man (2015),80,90,64,8.1,7.8,627,103660
Do You Believe? (2015),18,84,22,4.7,5.4,31,3136
Hot Tub Time Machine 2 (2015),14,28,29,3.4,5.1,88,19560
The Water Diviner (2015),63,62,50,6.8,7.2,34,39373
Irrational Man (2015),42,53,53,7.6,6.9,17,2680
Top Five (2014),86,64,81,6.8,6.5,124,16876
Shaun the Sheep Movie (2015),99,82,81,8.8,7.4,62,12227
Love & Mercy (2015),89,87,80,8.5,7.8,54,5367
Far From The Madding Crowd (2015),84,77,71,7.5,7.2,35,12129
Black Sea (2015),82,60,62,6.6,6.4,37,16547
Leviathan (2014),99,79,92,7.2,7.7,145,22521
Unbroken (2014),51,70,59,6.5,7.2,218,77518
The Imitation Game (2014),90,92,73,8.2,8.1,566,334164
Taken 3 (2015),9,46,26,4.6,6.1,240,104235
Ted 2 (2015),46,58,48,6.5,6.6,197,49102
Southpaw (2015),59,80,57,8.2,7.8,128,23561
Night at the Museum: Secret of the Tomb (2014),50,58,47,5.8,6.3,103,50291
Pixels (2015),17,54,27,5.3,5.6,246,19521
"McFarland, USA (2015)",79,89,60,7.2,7.5,59,13769
Insidious: Chapter 3 (2015),59,56,52,6.9,6.3,115,25134
The Man From U.N.C.L.E. (2015),68,80,55,7.9,7.6,144,22104
Run All Night (2015),60,59,59,7.3,6.6,141,50438
Trainwreck (2015),85,74,75,6.0,6.7,169,27380
Selma (2014),99,86,89,7.1,7.5,316,45344
Ex Machina (2015),92,86,78,7.9,7.7,672,154499
Still Alice (2015),88,85,72,7.8,7.5,153,57123
Wild Tales (2014),96,92,77,8.8,8.2,107,50285
The End of the Tour (2015),92,89,84,7.5,7.9,19,1320
Red Army (2015),96,86,82,7.4,7.7,11,2275
When Marnie Was There (2015),89,89,71,6.4,7.8,29,4160
The Hunting Ground (2015),92,72,77,7.8,7.5,6,1196
The Boy Next Door (2015),10,35,30,5.5,4.6,75,19658
Aloha (2015),19,31,40,4.0,5.5,67,12255
The Loft (2015),11,40,24,2.4,6.3,80,21319
5 Flights Up (2015),52,47,55,6.8,6.1,6,2174
Welcome to Me (2015),71,47,67,6.9,5.9,33,8301
Saint Laurent (2015),51,45,52,6.8,6.3,8,2196
Maps to the Stars (2015),60,46,67,5.8,6.3,46,22440
I'll See You In My Dreams (2015),94,70,75,6.9,6.9,14,1151
Timbuktu (2015),99,78,91,6.9,7.2,37,6246
About Elly (2015),97,86,87,9.6,8.2,23,20659
The Diary of a Teenage Girl (2015),95,81,87,6.3,7.0,18,1107
Kingsman: The Secret Service (2015),75,84,58,7.9,7.8,1054,272204
Tomorrowland (2015),50,53,60,6.4,6.6,262,42937
The Divergent Series: Insurgent (2015),30,61,42,5.4,6.4,206,89618
Annie (2014),27,61,33,4.8,5.2,108,19222
Fantastic Four (2015),9,20,27,2.5,4.0,421,39838
Terminator Genisys (2015),26,60,38,6.4,6.9,779,85585
Pitch Perfect 2 (2015),67,68,63,5.7,6.7,192,56333
Entourage (2015),32,68,38,5.2,7.1,96,21914
The Age of Adaline (2015),54,68,51,7.4,7.3,100,45510
Hot Pursuit (2015),8,37,31,3.7,4.9,78,17061
The DUFF (2015),71,68,56,6.4,6.6,69,33594
Black or White (2015),39,68,45,7.9,6.6,24,4857
Project Almanac (2015),34,46,47,5.4,6.4,95,40057
Ricki and the Flash (2015),64,53,54,7.0,6.2,37,1769
Seventh Son (2015),12,35,30,3.9,5.5,126,41177
Mortdecai (2015),12,30,27,3.2,5.5,144,31878
Unfinished Business (2015),11,27,32,3.8,5.4,39,14346
American Ultra (2015),46,52,50,6.8,6.5,42,3017
True Story (2015),45,41,50,5.7,6.3,37,16069
Child 44 (2015),26,44,41,5.3,6.4,73,19220
Dark Places (2015),26,33,39,7.9,6.3,18,9856
Birdman (2014),92,78,88,8.0,7.9,1171,303505
The Gift (2015),93,79,77,8.3,7.6,121,10891
Unfriended (2015),60,39,59,5.8,5.9,130,22348
Monkey Kingdom (2015),94,77,72,7.5,7.3,15,883
Mr. Turner (2014),98,56,94,6.6,6.9,98,13296
Seymour: An Introduction (2015),100,87,83,6.0,7.7,4,243
The Wrecking Crew (2015),93,84,67,7.0,7.8,4,732
American Sniper (2015),72,85,72,6.6,7.4,850,251856
Furious 7 (2015),81,84,67,6.8,7.4,764,207211
